Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20
,Louisiana,,,1.58214e+06,5059.87,271.589,816.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,27,73,84,110,189,253,383,518,729,815,1122,1321,1742,2208,2630,3194,3456,3904,4964,6121,8477,9628,12108,12684,14611,15905,16708,17971,18921,19751,20420,20888,21361,21795,22374,22981,23450,23799,24358,24681,25150,25588,25983,26406,26694,27002,27220,27568,27896,28588,28990,29244,29612,29880,30261,30562,30823,31337,31511,31782,32003,32555,33349,33745,34098,34423,34673,34999,35271,36412,36829,36900,37155,37717,37953,38447,38750,38777,39530,39833,40271,40685,41062,41492,41926,42419,42769,43023,43569,43969,44412
,Maine,,,538303,1112.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,17,26,35,52,56,70,89,107,118,142,155,168,211,253,275,303,303,376,432,456,470,499,519,537,560,586,616,633,698,735,770,796,827,847,867,875,888,907,937,965,965,1015,1023,1040,1056,1095,1123,1153,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1603,1648,1687,1713,1741,1819,1877,1948,2013,2055,2074,2109,2137,2189,2226,2282,2325,2349,2377,2418,2446,2482,2524,2570,2588,2606,2637,2667
,Maryland,,,747128,1763.6,38.3006,76.6063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,8,9,12,18,27,24,42,60,85,107,149,193,243,289,348,424,581,773,991,1234,1412,1654,1976,2319,2747,3118,3607,4038,4365,5508,6166,6959,7686,8214,8914,9456,10028,10784,11571,12305,12825,13696,14208,14770,15729,16609,17757,18567,19467,20101,20848,21737,23458,24459,25456,26404,27112,28145,29351,30464,31493,32553,33363,34056,34802,35878,36941,37933,38790,39742,41521,42309,43512,44394,45473,46290,47136,47680,48418,49692,50928,51961,52739,53293,54156,54951,55834,56759,57476,57967,58399,58896,59453,60185
,Massachusetts,,,520288,1071.28,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,22,22,41,92,107,123,138,138,187,217,252,328,413,523,640,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28164,29919,32181,34985,36963,38674,40252,41832,43614,46727,51700,54135,55753,57295,59193,61201,63211,65388,67438,69318,70388,71654,73538,75338,77090,78561,79676,80409,81370,82657,84460,85786,87374,88500,89566,90521,91654,92860,93796,94641,95708,96366,96826,97428,98198,98880,99773,100468,100805,101163,101592,102063,102557,103132,103436,103626,103889,104156,104667
,Michigan,,,2.33494e+06,6901.87,84.841,168.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,24,32,53,62,119,257,397,537,1035,1329,1792,2293,2840,3629,4647,5483,6486,7599,9297,10766,12714,14192,15690,17194,18931,20311,21467,22391,23575,24223,25618,26988,28043,28787,30007,30781,31414,31988,32652,33945,35269,36643,37061,37769,38201,39253,40389,41358,42335,43193,43794,43983,44437,45174,45741,46368,46786,47164,47547,48006,48365,49546,50047,50519,51134,51913,52337,52992,53498,53902,54350,54670,54877,55100,55601,56001,56601,56951,57389,57531,57722,58020,58232,63700,64151,64640,64936,64996,65180,65438
,Minnesota,,,2.52663e+06,8123.02,47.6048,92.4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,9,14,21,21,53,59,77,89,113,133,166,233,260,285,341,394,441,498,569,627,688,741,788,865,933,983,1067,1142,1224,1330,1423,1617,1620,1691,1804,1808,2068,2206,2353,2464,2562,2720,2937,3180,3443,3600,3805,4173,4640,5134,5728,6229,6661,7229,7845,8572,9357,10084,10788,11269,11794,12490,12914,13431,14239,14968,15666,16368,17024,17665,18198,19006,19844,20571,21314,21957,22460,22944,23528,24189,24850,25208,25508,25870,26273,26979,27500,27886,28224,28523,28869,29312
,Mississippi,,,2.47278e+06,7350.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,12,21,34,50,80,140,207,249,320,377,485,579,663,759,847,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4274,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207,8424,8686,9090,9378,9501,9674,9908,10090,10483,10801,11123,11296,11432,11704,11967,12222,12625,13005,13260,13458,13731,14044,14372,14793,15229,15523,15752,16041,16322,16560,16769,17039,17270,17768,18123,18483,18483
,Missouri,,,3.51864e+06,10184.1,229.792,545.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,6,10,16,34,66,69,87,132,181,294,419,526,712,863,1001,1141,1476,1702,1888,2192,2311,2628,2810,3130,3409,3758,4016,4261,4507,4714,4818,5064,5278,5488,5663,5827,6013,6218,6409,6591,6837,7062,7202,7344,7554,7723,7955,8203,8390,8726,9001,9190,9392,9600,9819,9971,10095,10208,10336,10474,10692,10881,11040,11176,11300,11475,11610,11817,11988,12220,12363,12552,12698,12926,13091,13276,13451,13648,13931,14154,14400,14607,14912,15032,15233,15381,15603,15851
,Montana,,,1.8532e+06,6143.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,8,10,11,20,27,34,34,51,65,90,109,129,154,171,198,208,241,243,265,286,299,319,332,354,365,377,387,394,399,404,415,422,426,433,433,437,439,442,444,445,448,449,451,451,453,453,455,455,457,456,456,456,458,458,458,459,461,462,462,466,468,468,470,471,478,479,479,479,479,479,479,481,485,493,505,515,519,523,525,539,541,540,545,548,554,561,563
,Nebraska,,,3.06171e+06,9210.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,10,14,18,17,18,23,24,29,37,38,51,51,66,71,74,82,96,108,145,172,210,246,279,321,364,417,447,519,568,635,699,791,814,897,901,952,1066,1249,1474,1648,1685,1813,2202,2424,2719,3030,3358,3517,3851,4281,5008,5317,5661,6037,6373,6689,7334,7818,8093,8171,8407,8532,8912,9260,9610,10220,10177,10625,10854,11122,11427,11662,11963,12134,12362,12619,12984,13249,13648,13905,14101,14345,14616,14885,15139,15406,15572,15664,15786,15918,16058,16315
,Nevada,,,714839,1998.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,7,10,18,20,20,45,55,55,95,161,161,190,245,278,323,420,536,626,920,1012,1114,1279,1463,1514,1742,1855,1953,2124,2259,2456,2722,2702,2836,2990,3134,3211,3214,3524,3626,3728,3830,3937,4081,4208,4398,4539,4734,4700,4821,4934,5053,5248,5389,5472,5630,5660,5741,5855,5920,6171,6120,6152,6313,6476,6504,6733,6813,6949,7061,7096,7388,7400,7525,7526,7881,7956,8057,8150,8248,8376,8517,8628,8702,8858,8951,9129,9309,9491,9669,9816,10045,10218,10473
,New Hampshire,,,500166,715.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,4,4,5,6,6,7,7,17,26,37,42,53,61,73,101,101,108,137,158,187,214,314,357,367,479,479,540,621,715,715,747,819,819,885,929,985,922,1139,1139,1287,1342,1390,1447,1490,1588,1670,1720,1797,1864,1938,2010,2058,2146,2310,2429,2518,2588,2636,2741,2843,2947,3011,3071,3160,3239,3299,3382,3453,3556,3596,3652,3721,3868,3935,4014,4089,4149,4197,4231,4286,4389,4492,4492,4651,4685,4749,4795,4876,4953,5019,5043,5079,5079,5178,5209
,New Jersey,,,884510,1567.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,15,23,29,49,69,72,176,250,397,741,890,1327,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151,61850,64584,68824,71030,75317,78467,81420,85301,88722,92387,95914,100025,102196,105498,109038,111188,113856,116365,118652,121190,123717,126744,128269,130593,131890,133991,135840,137397,138754,140206,140917,141560,142704,143984,145089,146504,148240,149356,150776,151586,152579,153140,154154,155092,155764,156628,157185,158844,159608,160445,160918,161545,162068,162530,163336,163893,164164,164497,164796,165346,165816
,New Mexico,,,1.32607e+06,3494.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,13,13,21,23,28,35,42,55,57,83,100,113,113,136,208,237,237,315,327,373,490,506,624,686,794,821,865,1081,1091,1245,1262,1345,1484,1484,1597,1798,1845,1971,1971,2210,2379,2521,2660,2726,2825,2974,3213,3411,3513,3732,3850,4031,4138,4291,4493,4673,4778,4863,5069,5212,5364,5503,5662,5847,5938,6096,6192,6317,6472,6625,6625,6943,7026,7130,7252,7364,7493,7624,7689,7800,8024,8140,8353,8672,8800,8940,9062,9105,9250,9367
,New York,,,2.40592e+06,4604.33,44.4976,75.0655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,23,31,76,106,142,150,220,327,421,613,615,967,1578,3038,5704,8403,11727,15800,20884,25680,30840,37874,44873,52406,59640,66658,75822,83927,92490,102978,113820,123142,131806,139875,151044,161758,172344,181026,189027,195742,203016,214451,223690,230593,237469,243373,248404,253504,258209,263441,271569,282126,288022,291983,295103,299690,304369,308308,312974,316414,318951,321191,323976,327466,330400,333116,335395,337052,338481,340659,343050,345813,348232,350121,351371,352845,354367,356455,358154,359925,361513,362763,363836,364962,366729,368282,369659,370768,371708,373039,374084,375131,376207,377314,378095,378799,379482,380156,380889
,North Carolina,,,3.88008e+06,7950.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,7,7,15,17,25,32,39,64,92,136,189,256,305,353,495,590,738,887,1020,1191,1313,1535,1675,1977,2251,2486,2649,2962,3299,3499,3736,3965,4354,4570,4886,5113,5340,5639,6045,6328,6601,6895,7134,7495,7820,8290,8768,8997,9428,9755,10180,10754,11070,11588,11770,11971,12510,13053,13540,14006,14478,14938,15274,15622,16352,16968,17494,18130,18673,19207,19239,20262,20512,22110,22864,23365,24057,24455,24916,25800,26885,27794,28785,29592,30023,31276,32075,33295,34718,35625,36517,37227,38473,39584
,North Dakota,,,2.18689e+06,5313.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,6,19,26,28,28,30,36,45,51,68,94,98,109,122,142,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,393,528,585,627,644,679,709,748,803,867,942,991,1033,1067,1107,1153,1191,1225,1266,1323,1371,1425,1464,1491,1518,1571,1647,1712,1761,1848,1900,1931,1994,2095,2229,2317,2365,2418,2457,2422,2439,2481,2520,2554,2577,2625,2646,2679,2706,2745,2816,2861,2880,2901,2941,2980
,Northern Mariana Islands,,,69.015,145.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,8,8,8,8,8,11,11,11,11,11,11,11,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,16,16,19,19,19,19,19,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,24,26,26,26,27,28,30,30,30
,Ohio,,,3.60983e+06,7289.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,12,26,30,50,67,89,119,173,247,356,443,567,704,868,1137,1406,1653,1933,2199,2547,2901,3312,3739,4043,4453,4782,5148,5512,5878,6250,6604,6975,7285,7794,8414,9107,10222,11602,12919,13725,14117,14694,15169,15587,15972,16325,16769,17303,18027,18743,19335,19914,20474,20969,21576,22131,23016,23697,24081,24777,25250,25721,26357,26954,27474,27923,28454,28952,29436,30167,30794,31408,31911,32477,33006,33439,33915,34566,35033,35513,35984,36350,36792,37282,37758,38111,38476,38837,39162,39575,40004
,Oklahoma,,,3.25601e+06,7488.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,10,17,17,44,49,53,67,81,106,164,248,322,377,429,481,568,721,881,990,1161,1254,1329,1474,1526,1686,1794,1868,1970,2069,2184,2263,2357,2465,2465,2567,2680,2807,2894,3017,3121,3194,3254,3281,3410,3473,3618,3748,3851,3972,4044,4127,4202,4330,4424,4490,4589,4613,4732,4858,4963,5087,5237,5310,5398,5489,5532,5680,5849,5960,6037,6090,6138,6229,6273,6338,6418,6418,6573,6692,6805,6907,7007,7059,7150,7205,7363,7483,7626
,Oregon,,,1.64738e+06,4373.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,6,14,14,14,19,24,30,36,36,39,66,75,88,114,137,161,191,210,266,316,416,479,548,606,690,736,826,899,899,1068,1068,1132,1181,1321,1322,1371,1527,1584,1633,1663,1736,1785,1844,1910,1957,2004,2059,2127,2177,2253,2311,2354,2385,2446,2510,2579,2635,2680,2759,2839,2916,2989,3068,3160,3228,3286,3358,3416,3479,3541,3612,3623,3687,3726,3801,3817,3864,3888,3927,3949,3967,4038,4086,4131,4185,4243,4302,4335,4399,4474,4570,4570,4662,4922,4988,5060,5237
,Pennsylvania,,,2.98858e+06,5200.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,12,16,22,41,47,47,79,112,155,206,311,399,509,698,946,1260,1795,2345,2845,3432,4155,4963,6009,7268,8570,10444,11589,13127,14853,16631,18300,20051,21719,22938,24292,25465,26753,28258,29888,31652,32902,33914,35249,36082,38379,40208,41153,42616,43558,45137,46327,47971,49579,50494,51225,52816,53864,54800,55956,57371,58560,59939,60459,61310,62101,63105,64136,65185,65700,66669,67311,68126,69252,70211,71009,71563,71925,72778,73557,74220,74984,75697,76129,76646,77225,77780,78335,78815,79505,79908,80339,80870,81316,81848
,Puerto Rico,,,72.018,66.5901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,14,21,23,31,39,51,64,79,100,127,174,239,286,316,316,452,475,513,573,620,683,725,788,897,903,923,974,1043,1068,1118,1213,1252,1298,1252,1416,1276,1307,1371,1389,1400,1433,1539,1575,1757,1808,1843,1924,1968,2031,2156,2173,2198,2256,2299,2329,2427,2542,2589,2646,2710,2805,2866,2913,3030,3100,3189,3260,3324,3397,3486,3647,3718,3776,3873,3935,4023,4508,4620,4915,4985,5046,5185,5329,5352
,Rhode Island,,,390113,357.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,5,3,12,20,20,21,23,33,44,54,66,83,106,124,132,165,203,239,294,408,488,566,645,711,806,922,1082,1229,1450,1727,1727,2349,2665,2665,3251,3251,3529,4177,4491,4706,5090,5500,5841,6256,6699,7129,7439,7708,7927,8247,8621,8962,9289,9477,9652,9933,10205,10530,10779,10989,11274,11450,11614,11835,12016,12219,12434,12674,12795,12951,13356,13571,13736,13952,14065,14065,14210,14353,14494,14635,14819,14928,14991,15112,15219,15325,15441,15441,15441,15642,15691,15756,15862
,South Carolina,,,2.24221e+06,3725.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,10,7,8,19,19,30,47,60,80,126,174,196,298,342,424,424,542,660,774,925,1083,1293,1554,1700,1917,2049,2232,2417,2417,2793,3067,3211,3320,3391,3553,3656,3931,4099,4248,4377,4446,4439,4761,4917,5070,5253,5498,5613,5735,5882,6095,6258,6489,6626,6757,6841,6936,7142,7367,7531,7653,7792,7927,8030,8189,8407,8661,8816,8942,9056,9175,9381,9638,9895,10096,10178,10416,10623,10788,11131,11394,11861,12148,12415,12415,12415,13453,13453,14286,14800,15228,15759,16441
,South Dakota,,,3.21058e+06,6554.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,8,8,10,11,11,14,14,14,21,28,30,41,46,58,68,90,101,108,129,165,187,212,240,288,320,393,447,536,626,730,868,988,1168,1311,1411,1542,1635,1685,1755,1858,1956,2040,2147,2212,2244,2313,2373,2449,2525,2588,2631,2668,2721,2780,2906,3145,3393,3517,3614,3663,3732,3792,3887,3959,3987,4027,4085,4177,4177,4356,4464,4563,4586,4653,4710,4793,4866,4960,4993,5034,5067,5162,5247,5277,5367,5438,5471,5523,5604,5665
,Tennessee,,,4.64412e+06,8180.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,9,18,26,32,32,52,74,100,154,223,304,393,614,772,916,1097,1318,1511,1720,1917,2391,2933,3013,3067,3322,3633,3802,4139,4363,4634,4891,5132,5508,5610,5827,5827,6166,6263,6589,7070,7238,7394,7394,8266,8728,9189,9667,9918,10052,10366,10735,11891,12661,13177,13571,13690,13938,14096,14441,14768,14985,15544,16111,16370,16699,16960,17263,17359,18011,18412,18412,18961,19394,19785,20111,20535,20895,21285,21679,22063,22566,22566,22566,24342,24833,25190,25664,26177,26493,27005,27575,27930,28340
,Texas,,,1.24266e+07,25057.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,11,13,16,21,27,44,60,63,85,110,196,306,429,582,643,758,955,1229,1563,1937,2455,2792,3147,3809,4355,5069,5734,6567,7209,8043,8925,9777,11208,12105,13023,13677,14275,15006,15907,16876,17849,18704,19260,19751,20574,21321,22650,23642,24153,24967,25321,26357,27257,28727,29692,30917,31998,32783,33912,34928,36036,37246,38394,39258,40555,41432,43020,44480,45721,47452,48396,49177,50552,51673,53053,53539,54776,55861,56409,57230,58542,60395,60901,62675,64652,65593,67310,68877,70555,72548,74470,75408,76463,78208,80777,82658
,Utah,,,1.59218e+06,3904.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,9,10,18,28,39,47,62,95,118,162,257,298,340,396,472,602,720,798,888,888,1086,1248,1428,1601,1678,1739,1848,1856,2103,2207,2303,2363,2417,2548,2683,2793,2917,3069,3213,3297,3445,3612,3782,3948,4123,4236,4345,4497,4672,4828,4985,5175,5317,5449,5595,5724,5919,6103,6251,6362,6432,6620,6749,6913,7068,7238,7384,7518,7710,7874,8057,8260,8392,8521,8620,8706,8921,9264,9533,9797,9999,10202,10497,10813,11252,11798,12066,12322,12559,12864,13252
,Vermont,,,870297,1017.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,5,12,12,13,22,29,49,52,75,95,125,158,184,211,235,256,293,321,338,389,461,512,543,575,605,628,679,711,727,748,752,759,774,779,803,813,816,818,823,825,827,843,851,855,862,862,866,879,886,897,902,907,908,916,919,921,927,926,927,929,932,933,934,940,940,944,944,950,952,954,956,962,967,971,974,975,977,981,983,988,990,1026,1027,1046,1063,1075,1084,1095,1110
,Virgin Islands,,,78.018,64.8963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,6,7,17,17,17,19,22,23,30,30,30,30,37,40,42,43,43,45,45,50,51,51,51,51,51,51,51,53,53,53,53,54,54,54,55,57,57,57,57,66,66,66,66,66,66,66,66,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,71,71,71,71,71,71,72,72
,Virginia,,,6.98822e+06,10442.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,9,12,27,37,37,49,67,79,103,123,157,220,254,293,396,466,607,740,890,1020,1249,1483,1706,2012,2407,2640,2878,3335,3645,4042,4509,5077,5274,5747,6182,6500,6889,7491,8053,8542,8990,9630,10266,10998,11594,12366,12970,13538,14339,14962,15847,16902,17738,18672,19493,20257,20985,21570,22342,23196,24081,25070,25800,26746,27813,28672,29683,30388,31140,32145,32908,34137,34950,35749,36244,37727,39342,40249,41401,42533,43611,44607,45398,46239,46905,47856,48532,49397,50681,51251,51738,52177,52647
,Washington,,,2.23863e+06,4708.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,18,27,39,70,78,102,122,122,167,282,442,568,642,603,779,955,1022,1374,1524,1793,1997,2221,2328,2591,3207,3477,4030,4465,4923,5432,5608,6389,6846,7247,7825,8311,8692,9276,9639,10119,10434,10609,10635,10799,10942,11057,11517,11776,11978,12114,12392,12596,12753,12977,13319,13521,13686,13842,14070,14327,14637,15003,15185,15462,15594,15905,16231,16388,16674,16891,17122,17330,17512,17773,17951,18288,18433,18611,18811,18971,19117,19265,19265,19828,20065,20181,20406,20764,21071,21349,21702,21977,22157,22484,22729,22993,23442,23729,24041,24354,24354,24779
,West Virginia,,,3.14314e+06,4433.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,12,16,16,22,39,52,76,96,113,145,162,191,216,237,282,324,345,412,483,514,574,577,593,611,640,702,728,775,785,890,902,908,939,981,1010,1010,1055,1063,1095,1110,1125,1152,1185,1195,1224,1246,1242,1287,1323,1323,1360,1366,1378,1398,1427,1447,1470,1492,1502,1502,1567,1593,1705,1705,1759,1774,1774,1899,1935,1951,1989,2010,2028,2056,2077,2102,2119,2136,2144,2161,2169,2194,2217
,Wisconsin,,,4.13523e+06,6373,45.0344,92.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,19,27,28,48,73,111,158,217,281,381,424,479,620,728,926,1055,1164,1230,1411,1554,1747,2011,2029,2320,2449,2578,2710,2886,3068,3212,3339,3426,3554,3721,3874,4052,4199,4346,4499,4625,4844,5050,5355,5687,5912,6081,6289,6520,6851,7311,7660,7962,8232,8563,8898,9213,9587,9935,10218,10416,10607,10895,11269,11684,12185,12536,12678,12881,13409,13876,14390,14869,15268,15581,15860,16459,16970,17701,18223,18394,18532,18908,19395,19887,20244,20566,20832,21037,21306,21591,21925
,Wyoming,,,1.45864e+06,2464.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,11,16,18,21,23,26,26,29,44,53,70,82,86,94,109,130,150,162,187,197,210,216,221,230,239,261,270,275,282,287,296,305,309,313,317,443,447,453,473,491,502,520,536,545,559,566,579,586,596,604,631,635,644,653,662,669,675,688,701,716,741,754,766,776,787,801,803,813,838,843,850,860,876,891,898,903,910,912,915,921,933,939,947,960,970,980,1009
