Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20
,Rhode Island,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,5,10,24,29,29,30,32,42,53,54,82,102,120,124,132,183,221,257,388,420,498,616,780,794,809,970,1082,1229,1628,1727,1919,2349,2665,2665,3251,4052,4190,4956,4970,5314,5868,6143,6545,6869,7178,7548,7953,8177,8295,8823,9184,9517,9812,10056,10191,10198,10205,10530,10779,10989,11274,13021,13140,13466,13440,13414,13388,13362,13336,13310,14295,14487,14651,14865,14938,14912,14886,15170,15249,15332,15306,15280,15253,15226,15199,15172,15145,15118,15091,16070,16043,16016,15989,15962,15935,15908,16328,16301,16274,16247,16220,16193,16166,16560,16533
,South Carolina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,10,11,12,19,19,30,47,60,80,126,174,196,301,344,430,432,544,662,776,927,1084,1294,1554,1700,1917,2055,2233,2423,2426,2793,3067,3211,3322,3393,3561,3660,3932,4100,4249,4382,4449,4450,4767,4926,5080,5261,5498,5630,5745,5890,6097,6258,6490,6627,6762,6853,6946,7147,7371,7533,7661,7794,7936,8058,8220,8418,8675,8825,8951,9068,9187,9387,9642,9901,10098,10186,10417,10625,10794,11131,11396,11861,12149,12425,12431,12437,13453,13453,14294,14804,15233,15776,16442,17177,17955,18795,19378,20004,20556,21540,22621,23759,24663,25667,26572
,South Dakota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,10,11,11,14,14,14,21,28,30,41,46,58,68,90,101,109,131,167,189,214,242,290,325,396,449,538,630,733,872,992,1174,1317,1417,1547,1641,1691,1761,1864,1962,2046,2153,2218,2250,2319,2378,2454,2529,2592,2635,2672,2725,2784,2911,3150,3399,3523,3621,3671,3737,3798,3891,3963,3992,4031,4090,4182,4182,4360,4468,4567,4590,4657,4714,4798,4876,4967,5000,5041,5073,5167,5253,5282,5371,5442,5475,5526,5607,5668,5745,5836,5901,5931,5969,6053,6115,6167,6257,6312,6332,6353
,Tennessee,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,9,18,26,32,32,52,74,100,154,245,350,446,665,818,921,1102,1322,1535,1723,1919,2396,2936,3452,3624,3791,3984,4168,4513,4773,5043,5314,5556,5938,6185,6298,6316,6589,6769,7007,7424,7625,7810,7811,8671,9159,9546,10029,10320,10504,10819,11177,12330,13000,13479,13816,13986,14306,14475,14818,15150,15367,15922,16300,16738,17173,17382,17686,17781,18298,18704,18703,19321,19743,20128,20445,20876,21232,21623,21985,22366,22808,22808,22809,24503,25000,25361,25823,26331,26641,27146,27823,28157,28625,29372,29791,30563,31210,31952,32307,32943,34126,34634,35189,35570,36303
,Texas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,11,13,16,21,27,45,60,66,88,113,199,311,439,587,691,805,1002,1274,1609,1985,2504,2844,3202,3859,4405,5124,5787,6617,7258,8127,8999,9837,11264,12158,13077,13731,14329,15070,15965,16928,17901,18756,19311,19827,20625,21370,22699,23691,24202,25016,25370,26491,27376,28779,29763,30983,32061,32847,33969,34986,36266,37473,38615,39479,40788,41657,43252,44716,45947,47652,48592,49369,50736,51855,53233,53858,55127,56228,56797,57745,58892,60552,61059,62817,64805,65736,67441,69006,70673,72665,74587,75526,76580,78598,81250,83168,85469,87522,89147,90883,93703,97831,101382,105530,109657,113003,117817,122932
,Utah,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,9,10,25,33,41,53,68,102,126,171,260,301,346,403,481,604,728,816,896,897,1092,1276,1456,1627,1706,1767,1876,1885,2132,2237,2331,2393,2448,2579,2713,2894,3020,3246,3390,3473,3620,3786,3955,4121,4293,4405,4513,4664,4840,4994,5149,5342,5485,5614,5759,5886,6079,6262,6409,6518,6598,6775,6904,7066,7219,7388,7531,7668,7855,8017,8198,8401,8530,8657,8754,8838,9050,9393,9658,9919,10119,10320,10612,10925,11361,11904,12167,12420,12657,12957,13339,13659,14058,14385,14677,15001,15401,15890,16470,17105,17488,17920,18300
,Vermont,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,5,12,12,13,22,29,61,68,90,112,142,171,201,229,255,257,310,335,362,411,479,529,553,604,605,666,679,759,779,799,803,803,818,828,852,862,864,875,880,884,886,900,907,915,923,924,928,934,940,950,953,957,959,966,966,968,974,973,973,973,975,975,975,979,978,979,978,984,985,986,986,991,995,997,1000,1001,1001,1004,1005,1009,1010,1045,1052,1063,1079,1090,1098,1108,1123,1131,1136,1136,1137,1139,1138,1141,1149,1151,1162,1165,1164
,Virgin Islands,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,6,7,17,17,17,19,22,23,30,30,30,30,37,40,42,43,43,45,45,50,51,51,51,51,51,51,51,53,53,53,53,54,54,54,55,57,57,57,57,66,66,66,66,66,66,66,66,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,71,71,71,71,71,71,72,72,72,72,72,72,72,73,73,73,73,76,76,76
,Virginia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,9,14,30,41,41,53,71,82,105,128,160,230,263,303,404,474,617,750,899,1032,1261,1497,1719,2031,2427,2653,2895,3346,3664,4052,4518,5086,5308,5752,6186,6517,6915,7514,8081,8573,9002,9648,10283,11012,11609,12377,12980,13548,14349,14969,15855,16909,17744,18679,19499,20284,21027,21583,22353,23209,24091,25077,25809,26758,27823,28687,29696,30399,31151,32156,32921,34154,34966,35761,36383,37751,39352,40270,41419,42549,43629,44626,45408,46249,46922,47869,48549,49414,50695,51284,51774,52214,52684,53244,53901,54523,54902,55349,55792,56257,56813,57462,58022,58474,58994
,Washington,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,18,27,39,70,78,102,122,122,167,302,442,568,682,696,886,1076,1227,1374,1549,1806,1997,2254,2407,2745,3367,3653,4287,4689,4933,5463,5624,6398,6855,7290,7834,8318,8698,9282,9709,10108,10472,10755,10882,11170,11402,11651,12032,12154,12618,12762,13015,13208,13482,13682,13949,14149,14312,14469,14687,14949,15231,15565,15771,16050,16188,16461,16785,16914,17198,17417,17639,17816,17972,18188,18335,18670,18814,19027,19218,19370,19486,19630,19618,20154,20389,20507,20717,21061,21351,21616,21948,22204,22419,22733,22959,23231,23661,23928,24230,24536,24524,24942,25307,25663,25932,26204,26610,26874,27243,27674,28242,28715,28889,29386
,West Virginia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,12,16,16,22,39,52,81,100,114,145,162,191,218,238,282,324,349,412,484,535,597,601,617,635,670,732,754,802,811,916,928,935,968,1012,1037,1037,1080,1092,1120,1134,1150,1176,1207,1219,1248,1270,1270,1314,1354,1355,1393,1401,1412,1432,1461,1483,1506,1528,1548,1550,1616,1643,1711,1711,1800,1815,1814,1944,1984,2000,2038,2053,2070,2098,2120,2143,2160,2175,2182,2200,2208,2231,2253,2279,2307,2323,2353,2371,2407,2443,2492,2520,2549,2563,2593
,Wisconsin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,20,28,29,49,74,112,160,220,283,382,425,481,621,729,926,1116,1225,1291,1473,1617,1809,2073,2091,2392,2517,2648,2780,2956,3138,3283,3411,3497,3624,3788,3943,4121,4270,4416,4572,4695,4915,5122,5426,5756,5979,6148,6354,6584,6915,7375,7720,8023,8294,8623,8957,9272,9646,9993,10272,10471,10662,10956,11323,11732,12233,12588,12732,12930,13457,13931,14439,14918,15318,15623,15902,16504,17015,17741,18263,18434,18573,19027,19430,19923,20281,20601,20862,21064,21336,21618,21949,22270,22545,22782,22954,23219,23473,23893,24168,24549,24827,25075,25331
,Wyoming,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,11,16,18,21,23,26,26,29,44,53,70,82,86,94,109,130,150,162,187,197,210,216,222,231,240,262,271,276,283,288,297,307,311,315,320,444,450,455,475,493,504,524,540,548,562,568,582,589,599,607,634,638,647,656,665,672,679,692,703,718,743,756,768,779,790,802,804,815,840,845,851,861,877,892,899,905,911,912,915,921,933,939,947,960,973,984,1009,1028,1050,1060,1081,1091,1117,1146,1176,1181,1199,1232,1254
